Person_ID,Income,Income Group,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous,Rent % of Income
PID_00046,"₹16,866.38",Low,59,2,Self_Employed,Tier_2,"₹3,373.28","₹2,840.34",₹598.13,"₹1,801.12","₹1,070.35",₹666.25,₹731.23,"₹1,038.86",₹584.35,"₹1,000.93",₹183.92,9.65%,"₹1,627.64","₹2,977.62",₹316.14,₹285.42,₹168.33,₹100.24,₹63.54,₹13.37,₹39.59,₹28.94,20.00%
PID_00047,"₹20,752.91",Low,27,1,Professional,Tier_3,"₹3,112.94",₹0.00,₹595.20,"₹2,533.62","₹1,260.47",₹813.83,"₹1,008.46","₹1,548.44",₹778.79,"₹1,985.13",₹525.89,8.23%,"₹1,708.77","₹6,590.15",₹671.04,₹104.48,₹182.54,₹56.97,₹356.94,₹32.24,₹23.96,₹33.84,15.00%
PID_00048,"₹69,888.08",Middle,58,3,Professional,Tier_1,"₹20,966.43",₹0.00,"₹3,336.29","₹9,572.32","₹3,724.99","₹2,735.51","₹2,271.87","₹2,813.69","₹2,620.61","₹6,124.99","₹1,935.46",13.36%,"₹9,335.82","₹13,785.94","₹1,239.32",₹845.05,₹610.05,₹179.87,₹584.92,₹26.89,₹302.08,₹516.71,30.00%
PID_00049,"₹39,491.76",Middle,39,4,Retired,Tier_2,"₹7,898.35",₹0.00,"₹1,555.33","₹4,126.19","₹2,765.23","₹1,423.68",₹922.62,"₹1,731.28","₹1,322.00","₹2,299.32",₹595.80,7.64%,"₹3,015.74","₹14,851.97",₹895.11,₹665.36,₹139.56,₹239.21,₹314.79,₹0.96,₹2.62,₹57.39,20.00%
PID_00050,"₹7,321.13",Low,45,0,Student,Tier_2,"₹1,464.23",₹674.69,₹352.14,₹959.07,₹396.88,₹241.78,₹161.06,₹576.17,₹285.37,₹0.00,₹76.27,6.81%,₹498.76,"₹2,133.47",₹74.00,₹76.63,₹56.47,₹44.33,₹72.01,₹4.98,₹0.00,₹21.05,20.00%
PID_00051,"₹38,879.40",Middle,32,4,Student,Tier_2,"₹7,775.88",₹0.00,"₹1,074.13","₹4,633.07","₹2,588.91",₹983.05,"₹1,420.99","₹2,168.05","₹1,411.69","₹2,562.39","₹1,042.48",5.68%,"₹2,206.55","₹13,218.76",₹515.95,₹741.56,₹232.91,₹82.97,₹299.28,₹21.96,₹101.42,₹145.26,20.00%
PID_00052,"₹22,046.01",Low,60,2,Self_Employed,Tier_2,"₹4,409.20","₹2,490.27","₹1,013.99","₹2,701.41","₹1,142.21",₹821.01,₹894.40,"₹1,267.37",₹671.83,"₹1,918.14",₹242.70,6.09%,"₹1,343.35","₹4,473.48",₹300.59,₹176.11,₹238.63,₹64.86,₹83.76,₹31.95,₹77.76,₹43.22,20.00%
PID_00053,"₹17,455.59",Low,46,4,Self_Employed,Tier_1,"₹5,236.68",₹0.00,₹796.76,"₹2,060.14","₹1,393.73",₹365.73,₹382.15,₹774.74,₹821.51,"₹1,605.99",₹274.65,6.11%,"₹1,066.20","₹3,743.51",₹309.46,₹139.58,₹105.12,₹54.25,₹47.63,₹39.18,₹52.72,₹58.49,30.00%
PID_00054,"₹48,937.23",Middle,24,0,Student,Tier_3,"₹7,340.58","₹6,173.58","₹2,295.84","₹5,099.51","₹3,419.17","₹2,342.88","₹2,009.74","₹2,740.59","₹2,284.27",₹0.00,"₹1,077.69",11.25%,"₹5,504.30","₹14,153.39","₹1,298.97",₹759.56,₹190.89,₹599.76,₹536.06,₹80.86,₹0.00,₹319.37,15.00%
PID_00055,"₹68,442.71",Middle,51,0,Student,Tier_2,"₹13,688.54","₹9,243.34","₹3,047.28","₹8,891.69","₹3,535.36","₹3,298.88","₹2,383.72","₹4,927.44","₹2,414.48",₹0.00,"₹1,400.59",13.50%,"₹9,241.34","₹15,611.39",₹646.90,₹835.57,₹477.79,₹393.10,₹817.27,₹26.43,₹0.00,₹395.22,20.00%
PID_00056,"₹63,194.77",Middle,49,2,Professional,Tier_2,"₹12,638.95",₹0.00,"₹2,792.23","₹7,662.30","₹4,519.10","₹3,080.40","₹2,395.13","₹3,687.74","₹2,341.21","₹5,067.91","₹1,221.79",13.04%,"₹8,239.00","₹17,787.99",₹905.28,₹355.27,₹319.88,₹698.27,₹220.94,₹55.83,₹40.44,₹85.11,20.00%
PID_00057,"₹15,330.18",Low,19,0,Self_Employed,Tier_2,"₹3,066.04",₹0.00,₹697.06,"₹2,176.94","₹1,046.60",₹336.91,₹738.83,₹682.55,₹757.07,₹0.00,₹300.07,9.18%,"₹1,406.58","₹5,528.11",₹283.15,₹237.80,₹61.76,₹182.09,₹87.82,₹14.78,₹0.00,₹86.20,20.00%
PID_00058,"₹23,425.55",Low,43,1,Student,Tier_1,"₹7,027.67","₹2,226.88","₹1,098.16","₹3,200.36","₹1,660.43",₹736.04,₹599.83,"₹1,763.19","₹1,032.46","₹2,095.57",₹504.10,7.91%,"₹1,480.87","₹1,480.87",₹454.77,₹343.53,₹41.18,₹101.12,₹150.04,₹13.82,₹46.90,₹100.71,30.00%
PID_00059,"₹39,103.35",Middle,62,4,Student,Tier_2,"₹7,820.67",₹0.00,"₹1,279.18","₹5,043.78","₹2,907.96","₹1,609.32",₹924.51,"₹2,894.05","₹1,800.87","₹3,364.60",₹456.35,5.67%,"₹2,217.69","₹11,002.05","₹1,217.83",₹621.04,₹365.71,₹273.16,₹405.68,₹75.51,₹48.01,₹96.60,20.00%
PID_00060,"₹65,472.71",Middle,28,3,Professional,Tier_2,"₹13,094.54",₹0.00,"₹1,739.62","₹7,322.75","₹4,659.71","₹1,770.70","₹3,042.79","₹3,519.55","₹2,326.28","₹5,264.07","₹1,497.54",13.72%,"₹8,984.30","₹21,235.16","₹1,730.95",₹261.08,₹146.86,₹484.09,₹374.39,₹99.14,₹241.29,₹431.91,20.00%
PID_00061,"₹20,447.45",Low,42,3,Retired,Tier_2,"₹4,089.49",₹0.00,₹453.19,"₹2,541.02","₹1,126.61",₹905.67,₹857.37,"₹1,251.02",₹951.68,"₹1,830.87",₹497.99,5.30%,"₹1,083.42","₹5,942.53",₹528.84,₹251.20,₹185.60,₹110.34,₹124.12,₹44.55,₹52.63,₹96.12,20.00%
PID_00062,"₹25,859.30",Low,36,3,Professional,Tier_2,"₹5,171.86",₹0.00,₹730.63,"₹3,591.50","₹1,500.23",₹700.60,₹736.95,"₹1,792.22","₹1,201.78","₹1,539.02",₹359.53,9.35%,"₹2,417.37","₹8,534.99",₹476.98,₹236.82,₹166.19,₹38.37,₹97.73,₹35.72,₹34.81,₹37.49,20.00%
PID_00063,"₹12,380.58",Low,37,2,Student,Tier_3,"₹1,857.09","₹1,610.90",₹568.12,"₹1,310.76",₹688.40,₹261.64,₹305.95,₹918.70,₹601.60,₹927.38,₹204.76,9.16%,"₹1,133.62","₹3,125.29",₹179.82,₹39.59,₹58.26,₹46.68,₹207.59,₹14.96,₹20.09,₹42.19,15.00%
PID_00064,"₹11,521.70",Low,50,3,Self_Employed,Tier_2,"₹2,304.34","₹1,912.46",₹575.08,"₹1,220.53",₹821.28,₹340.28,₹483.55,₹906.14,₹558.95,₹721.39,₹238.44,5.56%,₹640.37,"₹1,439.27",₹327.98,₹136.60,₹28.75,₹108.45,₹136.37,₹23.48,₹15.65,₹41.42,20.00%
PID_00065,"₹57,467.41",Middle,34,4,Retired,Tier_2,"₹11,493.48","₹8,786.61","₹1,878.73","₹6,376.48","₹3,566.10","₹1,853.02","₹1,270.23","₹3,999.65","₹2,054.33","₹3,769.72",₹592.23,10.27%,"₹5,901.44","₹11,826.84",₹574.29,₹825.64,₹546.16,₹90.46,₹603.86,₹51.79,₹71.87,₹88.19,20.00%
PID_00066,"₹88,782.49",High,47,0,Professional,Tier_1,"₹26,634.75",₹0.00,"₹3,022.11","₹12,812.86","₹4,607.54","₹2,448.98","₹2,167.96","₹3,851.45","₹4,132.20",₹0.00,"₹1,782.35",12.00%,"₹10,652.29","₹27,322.30","₹3,460.46",₹317.26,₹453.91,₹623.92,₹455.07,₹185.87,₹0.00,₹433.98,30.00%
PID_00067,"₹28,320.60",Low,35,1,Retired,Tier_1,"₹8,496.18",₹0.00,₹900.06,"₹3,552.68","₹1,829.55","₹1,018.19","₹1,358.74","₹1,487.13","₹1,083.42","₹1,559.00",₹408.62,7.92%,"₹2,243.56","₹6,627.02",₹196.01,₹381.74,₹194.80,₹302.60,₹351.71,₹21.35,₹53.15,₹59.26,30.00%
PID_00068,"₹66,955.20",Middle,49,3,Retired,Tier_2,"₹13,391.04","₹12,898.37","₹2,445.72","₹9,963.13","₹4,248.92","₹2,279.56","₹2,558.96","₹4,079.74","₹2,548.77","₹5,497.39","₹1,952.40",13.72%,"₹5,091.19","₹5,091.19",₹731.26,"₹1,094.86",₹533.08,₹421.08,₹980.32,₹115.36,₹66.69,₹455.94,20.00%
PID_00069,"₹40,065.12",Middle,57,3,Professional,Tier_1,"₹12,019.54","₹3,437.47","₹1,375.86","₹5,780.87","₹2,679.45","₹2,000.66",₹865.00,"₹1,953.84","₹1,895.96","₹2,634.52",₹477.41,10.21%,"₹4,090.16","₹4,944.55","₹1,151.76",₹522.41,₹208.08,₹258.93,₹103.64,₹11.33,₹33.05,₹116.84,30.00%
PID_00070,"₹17,905.39",Low,62,3,Self_Employed,Tier_2,"₹3,581.08",₹0.00,₹725.52,"₹1,996.97","₹1,385.99",₹845.78,₹861.57,"₹1,080.29",₹853.98,"₹1,159.59",₹303.94,7.05%,"₹1,262.44","₹5,110.69",₹411.71,₹210.27,₹70.95,₹98.29,₹137.33,₹8.32,₹47.27,₹41.08,20.00%
PID_00071,"₹40,057.42",Middle,21,1,Student,Tier_3,"₹6,008.61","₹6,078.13","₹1,131.23","₹5,980.37","₹2,974.45","₹1,853.96","₹1,286.17","₹2,869.59","₹1,609.20","₹3,873.88",₹798.53,13.13%,"₹5,259.73","₹5,593.30",₹799.08,₹527.46,₹406.42,₹95.18,₹573.25,₹80.30,₹132.27,₹169.91,15.00%
