Income,Cleaned_Income,Age,Cleaned_Age,Dependents,Cleaned_Dependents,Occupation,Cleaned_Occupation,City_Tier,Rent,Cleaned_Rent,Loan_Repayment,Cleaned_Loan_Repayment,Insurance,Cleaned_Insurance,Groceries,Cleaned_Groceries,Transport,Cleaned_Transport,Eating_Out,Cleaned_Eating_Out,Entertainment,Cleaned_Entertainment,Utilities,Cleaned_Utilities,Healthcare,Cleaned_Healthcare,Education,Cleaned_Education,Miscellaneous,Cleaned_Miscellaneuos,Desired_Savings_Percentage,Cleaned_Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous
"₹20,706.82","₹20,706.82",31,31,0,0,Student,Student,Tier_3,"₹3,106.02","₹3,106.02",₹0.00,₹0.00,"₹1,031.78","₹1,031.78","₹3,037.27","₹3,037.27","₹1,459.28","₹1,459.28",₹451.41,₹451.41,₹785.29,₹785.29,"₹1,548.08","₹1,548.08",₹819.10,₹819.10,₹0.00,₹0.00,₹410.03,₹410.03,8.353298903,8.35%,"₹1,729.70","₹8,058.57",₹503.56,₹392.32,₹35.43,₹230.33,₹262.89,₹38.34,₹0.00,₹77.80
"₹20,668.56","₹20,668.56",31,31,4,4,Professional,Professional,Tier_2,"₹4,133.71","₹4,133.71",₹0.00,₹0.00,₹754.45,₹754.45,"₹2,597.40","₹2,597.40","₹1,123.04","₹1,123.04",₹878.88,₹878.88,₹643.15,₹643.15,"₹1,408.90","₹1,408.90","₹1,019.25","₹1,019.25","₹1,506.36","₹1,506.36",₹483.81,₹483.81,8.245344141,8.25%,"₹1,704.19","₹6,119.61",₹554.20,₹267.30,₹119.57,₹123.96,₹271.59,₹1.50,₹29.70,₹94.49
"₹36,407.22","₹36,407.22",54,54,3,3,Retired,Retired,Tier_1,"₹10,922.17","₹10,922.17","₹4,583.25","₹4,583.25",₹970.79,₹970.79,"₹4,685.67","₹4,685.67","₹2,503.09","₹2,503.09","₹1,328.96","₹1,328.96",₹822.88,₹822.88,"₹2,335.94","₹2,335.94","₹1,153.75","₹1,153.75","₹1,940.13","₹1,940.13",₹570.12,₹570.12,7.534437635,7.53%,"₹2,743.08","₹4,590.47",₹445.70,₹190.11,₹346.31,₹85.13,₹474.01,₹40.97,₹85.03,₹40.63
"₹6,492.02","₹6,492.02",22,22,3,3,Retired,Retired,Tier_3,₹973.80,₹973.80,₹0.00,₹0.00,₹184.24,₹184.24,₹955.50,₹955.50,₹494.82,₹494.82,₹309.24,₹309.24,₹229.83,₹229.83,₹471.87,₹471.87,₹222.65,₹222.65,₹590.05,₹590.05,₹179.09,₹179.09,7.151721193,7.15%,₹464.29,"₹1,880.93",₹180.47,₹38.25,₹59.83,₹49.16,₹60.74,₹3.92,₹20.42,₹46.56
"₹7,547.85","₹7,547.85",39,39,4,4,Self_Employed,Self_Employed,Tier_2,"₹1,509.57","₹1,509.57",₹0.00,₹0.00,₹330.19,₹330.19,"₹1,032.73","₹1,032.73",₹568.24,₹568.24,₹266.44,₹266.44,₹277.47,₹277.47,₹510.60,₹510.60,₹235.71,₹235.71,₹521.98,₹521.98,₹133.49,₹133.49,5.461341856,5.46%,₹412.21,"₹2,161.46",₹208.11,₹114.59,₹72.17,₹77.92,₹97.97,₹2.98,₹4.88,₹36.84
"₹19,132.10","₹19,132.10",45,45,2,2,Student,Student,Tier_2,"₹3,826.42","₹3,826.42","₹2,525.41","₹2,525.41",₹590.19,₹590.19,"₹2,515.72","₹2,515.72","₹1,164.07","₹1,164.07",₹661.75,₹661.75,₹660.75,₹660.75,"₹1,159.58","₹1,159.58",₹919.43,₹919.43,"₹1,442.91","₹1,442.91",₹461.51,₹461.51,8.017728052,8.02%,"₹1,533.96","₹3,204.35",₹323.14,₹108.91,₹183.12,₹101.13,₹314.59,₹17.27,₹66.99,₹92.37
"₹13,342.21","₹13,342.21",62,62,4,4,Retired,Retired,Tier_2,"₹2,668.44","₹2,668.44","₹2,540.48","₹2,540.48",₹352.89,₹352.89,"₹1,920.10","₹1,920.10",₹961.38,₹961.38,₹622.27,₹622.27,₹331.70,₹331.70,₹985.63,₹985.63,₹531.56,₹531.56,"₹1,043.20","₹1,043.20",₹286.26,₹286.26,8.140559552,8.14%,"₹1,086.13","₹1,098.29",₹568.17,₹205.18,₹154.84,₹96.40,₹263.23,₹20.00,₹5.42,₹61.40
"₹38,574.65","₹38,574.65",21,21,4,4,Professional,Professional,Tier_2,"₹7,714.93","₹7,714.93",₹0.00,₹0.00,"₹1,838.34","₹1,838.34","₹5,126.82","₹5,126.82","₹2,614.48","₹2,614.48","₹1,267.55","₹1,267.55","₹1,802.74","₹1,802.74","₹2,081.39","₹2,081.39","₹1,196.04","₹1,196.04","₹3,475.98","₹3,475.98",₹843.80,₹843.80,6.911498006,6.91%,"₹2,666.09","₹10,612.58",₹862.85,₹202.78,₹217.66,₹113.22,₹435.10,₹6.84,₹41.43,₹179.80
"₹14,509.13","₹14,509.13",55,55,4,4,Student,Student,Tier_1,"₹4,352.74","₹4,352.74",₹829.44,₹829.44,₹438.60,₹438.60,"₹1,506.25","₹1,506.25",₹811.70,₹811.70,₹515.58,₹515.58,₹414.23,₹414.23,₹766.34,₹766.34,₹656.65,₹656.65,"₹1,449.96","₹1,449.96",₹285.02,₹285.02,7.236589771,7.24%,"₹1,049.97","₹2,482.61",₹384.18,₹194.04,₹34.82,₹99.84,₹55.81,₹7.78,₹41.56,₹84.83
"₹9,692.52","₹9,692.52",46,46,0,0,Professional,Professional,Tier_2,"₹1,938.50","₹1,938.50",₹0.00,₹0.00,₹217.59,₹217.59,"₹1,306.54","₹1,306.54",₹562.10,₹562.10,₹396.06,₹396.06,₹427.91,₹427.91,₹723.64,₹723.64,₹305.65,₹305.65,₹0.00,₹0.00,₹155.46,₹155.46,5.219912412,5.22%,₹505.94,"₹3,659.07",₹138.17,₹102.74,₹118.04,₹69.69,₹66.64,₹3.07,₹0.00,₹19.68
"₹96,903.57","₹96,903.57",54,54,4,4,Retired,Retired,Tier_2,"₹19,380.71","₹19,380.71","₹9,481.17","₹9,481.17","₹3,585.07","₹3,585.07","₹14,257.03","₹14,257.03","₹6,271.72","₹6,271.72","₹2,829.05","₹2,829.05","₹3,879.58","₹3,879.58","₹4,066.69","₹4,066.69","₹3,956.93","₹3,956.93","₹6,227.47","₹6,227.47","₹2,131.73","₹2,131.73",13.54510108,13.55%,"₹13,125.69","₹20,836.43","₹4,013.47","₹1,649.69",₹584.64,₹200.13,₹451.54,₹191.91,₹295.42,₹404.04
"₹25,042.55","₹25,042.55",52,52,4,4,Self_Employed,Self_Employed,Tier_2,"₹5,008.51","₹5,008.51","₹2,898.04","₹2,898.04",₹914.22,₹914.22,"₹3,170.69","₹3,170.69","₹1,947.50","₹1,947.50","₹1,098.41","₹1,098.41",₹839.59,₹839.59,"₹1,321.02","₹1,321.02","₹1,066.04","₹1,066.04","₹1,470.45","₹1,470.45",₹407.47,₹407.47,5.74796722,5.75%,"₹1,439.44","₹4,900.62",₹859.65,₹335.61,₹218.41,₹161.42,₹355.09,₹50.18,₹33.31,₹70.79
"₹31,665.25","₹31,665.25",37,37,0,0,Student,Student,Tier_1,"₹9,499.58","₹9,499.58",₹0.00,₹0.00,"₹1,034.49","₹1,034.49","₹4,019.47","₹4,019.47","₹2,180.72","₹2,180.72","₹1,373.34","₹1,373.34",₹876.08,₹876.08,"₹1,686.60","₹1,686.60","₹1,579.08","₹1,579.08",₹0.00,₹0.00,₹623.56,₹623.56,6.835440261,6.84%,"₹2,164.46","₹8,792.34","₹1,182.46",₹273.20,₹126.66,₹262.09,₹294.82,₹39.03,₹0.00,₹186.74
"₹9,596.50","₹9,596.50",52,52,4,4,Retired,Retired,Tier_2,"₹1,919.30","₹1,919.30",₹0.00,₹0.00,₹320.45,₹320.45,"₹1,092.98","₹1,092.98",₹627.38,₹627.38,₹429.72,₹429.72,₹379.45,₹379.45,₹515.08,₹515.08,₹417.07,₹417.07,₹540.69,₹540.69,₹258.72,₹258.72,5.448952951,5.45%,₹522.91,"₹3,095.66",₹309.58,₹86.11,₹72.54,₹52.32,₹142.54,₹6.44,₹15.95,₹21.10
"₹19,408.11","₹19,408.11",52,52,3,3,Retired,Retired,Tier_1,"₹5,822.43","₹5,822.43","₹2,832.16","₹2,832.16",₹516.12,₹516.12,"₹2,486.69","₹2,486.69","₹1,346.56","₹1,346.56",₹956.59,₹956.59,₹930.29,₹930.29,"₹1,041.33","₹1,041.33",₹592.63,₹592.63,"₹1,604.70","₹1,604.70",₹452.33,₹452.33,6.115565684,6.12%,₹826.27,₹826.27,₹541.41,₹254.95,₹119.94,₹170.26,₹120.85,₹19.93,₹79.48,₹109.04
"₹32,783.83","₹32,783.83",37,37,3,3,Professional,Professional,Tier_2,"₹6,556.77","₹6,556.77",₹0.00,₹0.00,₹946.62,₹946.62,"₹4,815.61","₹4,815.61","₹1,788.11","₹1,788.11","₹1,519.47","₹1,519.47","₹1,452.26","₹1,452.26","₹1,557.94","₹1,557.94","₹1,175.05","₹1,175.05","₹2,225.12","₹2,225.12",₹973.88,₹973.88,9.373867595,9.37%,"₹3,073.11","₹9,773.00",₹322.69,₹491.95,₹258.49,₹293.90,₹192.61,₹35.05,₹68.57,₹251.97
"₹11,946.07","₹11,946.07",19,19,4,4,Student,Student,Tier_2,"₹2,389.21","₹2,389.21",₹0.00,₹0.00,₹413.30,₹413.30,"₹1,363.79","₹1,363.79",₹641.89,₹641.89,₹475.93,₹475.93,₹497.31,₹497.31,₹699.28,₹699.28,₹404.44,₹404.44,₹782.14,₹782.14,₹130.97,₹130.97,5.612336085,5.61%,₹670.45,"₹4,147.83",₹322.02,₹62.93,₹133.38,₹111.36,₹101.63,₹19.87,₹0.22,₹15.69
"₹40,518.38","₹40,518.38",35,35,0,0,Retired,Retired,Tier_3,"₹6,077.76","₹6,077.76",₹0.00,₹0.00,"₹1,992.04","₹1,992.04","₹6,013.17","₹6,013.17","₹3,205.86","₹3,205.86","₹1,070.64","₹1,070.64","₹1,146.63","₹1,146.63","₹2,250.44","₹2,250.44","₹1,221.91","₹1,221.91",₹0.00,₹0.00,"₹1,073.10","₹1,073.10",14.79317815,14.79%,"₹5,993.96","₹16,466.83","₹1,338.34",₹502.89,₹77.74,₹271.53,₹266.61,₹47.51,₹0.00,₹61.60
"₹18,554.02","₹18,554.02",47,47,4,4,Self_Employed,Self_Employed,Tier_2,"₹3,710.80","₹3,710.80","₹1,192.22","₹1,192.22",₹916.64,₹916.64,"₹2,512.97","₹2,512.97","₹1,393.71","₹1,393.71",₹674.69,₹674.69,₹773.19,₹773.19,"₹1,169.74","₹1,169.74",₹795.08,₹795.08,"₹1,575.38","₹1,575.38",₹416.60,₹416.60,9.664288344,9.66%,"₹1,793.11","₹3,422.99",₹338.69,₹400.00,₹151.12,₹189.38,₹128.21,₹29.77,₹31.68,₹111.91
"₹23,756.17","₹23,756.17",59,59,4,4,Student,Student,Tier_2,"₹4,751.23","₹4,751.23",₹0.00,₹0.00,₹537.26,₹537.26,"₹2,635.31","₹2,635.31","₹1,579.26","₹1,579.26",₹597.59,₹597.59,"₹1,039.08","₹1,039.08","₹1,446.64","₹1,446.64","₹1,068.19","₹1,068.19","₹2,353.88","₹2,353.88",₹325.90,₹325.90,6.324263653,6.32%,"₹1,502.40","₹7,421.82",₹597.58,₹234.68,₹134.02,₹290.20,₹358.20,₹17.57,₹88.57,₹56.37
"₹18,538.17","₹18,538.17",46,46,1,1,Professional,Professional,Tier_2,"₹3,707.63","₹3,707.63","₹3,359.64","₹3,359.64",₹874.84,₹874.84,"₹2,506.83","₹2,506.83","₹1,186.58","₹1,186.58",₹729.46,₹729.46,₹409.26,₹409.26,₹946.04,₹946.04,₹746.65,₹746.65,"₹1,722.13","₹1,722.13",₹294.46,₹294.46,9.354603436,9.35%,"₹1,734.17","₹2,054.64",₹265.51,₹183.94,₹106.79,₹122.70,₹203.08,₹36.23,₹78.85,₹46.56
"₹132,028.78","₹132,028.78",56,56,2,2,Self_Employed,Self_Employed,Tier_3,"₹19,804.32","₹19,804.32",₹0.00,₹0.00,"₹4,383.84","₹4,383.84","₹15,998.75","₹15,998.75","₹7,954.56","₹7,954.56","₹5,733.45","₹5,733.45","₹4,929.44","₹4,929.44","₹6,807.52","₹6,807.52","₹5,860.84","₹5,860.84","₹8,512.72","₹8,512.72","₹2,002.06","₹2,002.06",18.53360417,18.53%,"₹24,469.69","₹50,041.28",₹904.97,₹699.24,"₹1,558.12",₹691.32,₹750.97,₹62.94,₹412.59,₹308.42
"₹29,677.81","₹29,677.81",39,39,0,0,Retired,Retired,Tier_1,"₹8,903.34","₹8,903.34","₹2,892.44","₹2,892.44","₹1,002.34","₹1,002.34","₹3,838.26","₹3,838.26","₹1,959.41","₹1,959.41",₹769.22,₹769.22,"₹1,051.78","₹1,051.78","₹1,756.56","₹1,756.56","₹1,046.76","₹1,046.76",₹0.00,₹0.00,₹397.73,₹397.73,5.147627122,5.15%,"₹1,527.70","₹6,059.97",₹247.53,₹272.65,₹224.49,₹173.63,₹418.87,₹21.00,₹0.00,₹106.30
"₹12,871.67","₹12,871.67",46,46,2,2,Retired,Retired,Tier_2,"₹2,574.33","₹2,574.33",₹0.00,₹0.00,₹396.18,₹396.18,"₹1,841.40","₹1,841.40","₹1,013.27","₹1,013.27",₹281.06,₹281.06,₹564.11,₹564.11,₹877.64,₹877.64,₹556.88,₹556.88,"₹1,265.06","₹1,265.06",₹347.85,₹347.85,8.855788874,8.86%,"₹1,139.89","₹3,153.88",₹247.21,₹227.24,₹69.44,₹50.97,₹231.99,₹24.28,₹47.18,₹81.47
"₹57,929.88","₹57,929.88",63,63,1,1,Retired,Retired,Tier_2,"₹11,585.98","₹11,585.98",₹0.00,₹0.00,"₹2,686.89","₹2,686.89","₹6,416.20","₹6,416.20","₹3,010.58","₹3,010.58","₹1,164.43","₹1,164.43","₹2,301.16","₹2,301.16","₹3,995.60","₹3,995.60","₹1,886.01","₹1,886.01","₹5,289.48","₹5,289.48",₹772.63,₹772.63,13.17360471,13.17%,"₹7,631.45","₹18,820.94","₹1,643.51",₹786.33,₹117.43,₹636.86,₹808.88,₹89.25,₹14.98,₹161.46
"₹11,296.83","₹11,296.83",27,27,2,2,Retired,Retired,Tier_2,"₹2,259.37","₹2,259.37",₹0.00,₹0.00,₹380.88,₹380.88,"₹1,382.73","₹1,382.73",₹763.56,₹763.56,₹553.77,₹553.77,₹456.43,₹456.43,₹701.87,₹701.87,₹503.31,₹503.31,₹804.28,₹804.28,₹202.74,₹202.74,8.674647262,8.67%,₹979.96,"₹3,287.89",₹307.05,₹98.83,₹28.28,₹73.62,₹67.24,₹13.70,₹9.80,₹60.75
"₹35,455.85","₹35,455.85",37,37,4,4,Professional,Professional,Tier_3,"₹5,318.38","₹5,318.38","₹2,757.06","₹2,757.06",₹715.15,₹715.15,"₹4,322.43","₹4,322.43","₹2,783.75","₹2,783.75",₹951.33,₹951.33,"₹1,212.45","₹1,212.45","₹2,596.99","₹2,596.99","₹1,666.03","₹1,666.03","₹1,978.03","₹1,978.03",₹976.52,₹976.52,5.763676551,5.76%,"₹2,043.56","₹10,177.72",₹833.33,₹148.98,₹199.46,₹110.19,₹301.23,₹6.41,₹39.53,₹260.51
"₹6,255.50","₹6,255.50",33,33,3,3,Self_Employed,Self_Employed,Tier_2,"₹1,251.10","₹1,251.10",₹867.81,₹867.81,₹300.65,₹300.65,₹841.29,₹841.29,₹457.47,₹457.47,₹234.35,₹234.35,₹301.52,₹301.52,₹459.16,₹459.16,₹244.88,₹244.88,₹380.39,₹380.39,₹123.62,₹123.62,6.422917426,6.42%,₹401.79,₹793.26,₹100.04,₹107.95,₹19.50,₹32.07,₹81.00,₹2.68,₹9.44,₹7.55
"₹10,367.22","₹10,367.22",23,23,0,0,Student,Student,Tier_3,"₹1,555.08","₹1,555.08",₹736.93,₹736.93,₹510.30,₹510.30,"₹1,072.11","₹1,072.11",₹763.02,₹763.02,₹292.24,₹292.24,₹237.31,₹237.31,₹788.00,₹788.00,₹468.32,₹468.32,₹0.00,₹0.00,₹106.25,₹106.25,6.30326826,6.30%,₹653.47,"₹3,837.64",₹142.43,₹189.38,₹31.76,₹32.61,₹177.34,₹13.03,₹0.00,₹10.65
"₹35,117.04","₹35,117.04",34,34,0,0,Retired,Retired,Tier_1,"₹10,535.11","₹10,535.11",₹0.00,₹0.00,"₹1,157.89","₹1,157.89","₹3,839.29","₹3,839.29","₹2,433.65","₹2,433.65","₹1,225.26","₹1,225.26",₹905.52,₹905.52,"₹2,256.48","₹2,256.48","₹1,563.45","₹1,563.45",₹0.00,₹0.00,"₹1,015.76","₹1,015.76",5.370887108,5.37%,"₹1,886.10","₹10,184.63","₹1,009.95",₹457.10,₹176.96,₹163.23,₹188.01,₹61.26,₹0.00,₹256.27
"₹54,161.52","₹54,161.52",23,23,4,4,Self_Employed,Self_Employed,Tier_1,"₹16,248.46","₹16,248.46","₹5,389.56","₹5,389.56","₹1,791.87","₹1,791.87","₹6,609.12","₹6,609.12","₹4,218.10","₹4,218.10","₹1,305.24","₹1,305.24","₹2,483.22","₹2,483.22","₹3,827.45","₹3,827.45","₹1,742.98","₹1,742.98","₹4,771.63","₹4,771.63",₹599.71,₹599.71,10.87808083,10.88%,"₹5,174.20","₹5,174.20",₹597.39,₹500.00,₹97.73,₹573.79,₹199.14,₹41.12,₹100.81,₹143.37
"₹34,408.10","₹34,408.10",39,39,2,2,Self_Employed,Self_Employed,Tier_2,"₹6,881.62","₹6,881.62",₹0.00,₹0.00,₹706.24,₹706.24,"₹4,377.81","₹4,377.81","₹2,682.87","₹2,682.87","₹1,174.12","₹1,174.12",₹821.54,₹821.54,"₹2,050.95","₹2,050.95","₹1,117.52","₹1,117.52","₹3,379.48","₹3,379.48",₹612.83,₹612.83,9.171556342,9.17%,"₹3,155.76","₹10,603.13","₹1,070.41",₹594.52,₹252.99,₹46.43,₹333.15,₹32.58,₹48.72,₹92.04
"₹27,348.97","₹27,348.97",35,35,0,0,Self_Employed,Self_Employed,Tier_3,"₹4,102.35","₹4,102.35",₹0.00,₹0.00,₹712.54,₹712.54,"₹2,794.21","₹2,794.21","₹1,792.02","₹1,792.02","₹1,316.56","₹1,316.56",₹836.46,₹836.46,"₹1,834.63","₹1,834.63","₹1,129.63","₹1,129.63",₹0.00,₹0.00,₹682.78,₹682.78,5.602286678,5.60%,"₹1,532.17","₹12,147.80",₹250.69,₹268.03,₹233.27,₹143.62,₹161.11,₹4.60,₹0.00,₹44.29
"₹23,578.01","₹23,578.01",49,49,1,1,Self_Employed,Self_Employed,Tier_2,"₹4,715.60","₹4,715.60",₹0.00,₹0.00,₹556.53,₹556.53,"₹2,880.50","₹2,880.50","₹1,706.69","₹1,706.69","₹1,147.91","₹1,147.91",₹492.81,₹492.81,"₹1,880.17","₹1,880.17",₹893.56,₹893.56,"₹1,435.08","₹1,435.08",₹669.47,₹669.47,9.960479693,9.96%,"₹2,348.48","₹7,199.68",₹740.94,₹221.97,₹95.27,₹26.86,₹528.26,₹37.15,₹65.33,₹114.62
"₹9,192.43","₹9,192.43",45,45,1,1,Professional,Professional,Tier_2,"₹1,838.49","₹1,838.49","₹1,648.01","₹1,648.01",₹403.24,₹403.24,"₹1,204.57","₹1,204.57",₹732.10,₹732.10,₹299.63,₹299.63,₹299.46,₹299.46,₹696.37,₹696.37,₹390.48,₹390.48,₹880.13,₹880.13,₹257.62,₹257.62,9.68439914,9.68%,₹542.32,₹542.32,₹136.63,₹136.51,₹72.15,₹73.14,₹76.74,₹4.13,₹35.25,₹70.16
"₹16,866.38","₹16,866.38",59,59,2,2,Self_Employed,Self_Employed,Tier_2,"₹3,373.28","₹3,373.28","₹2,840.34","₹2,840.34",₹598.13,₹598.13,"₹1,801.12","₹1,801.12","₹1,070.35","₹1,070.35",₹666.25,₹666.25,₹731.23,₹731.23,"₹1,038.86","₹1,038.86",₹584.35,₹584.35,"₹1,000.93","₹1,000.93",₹183.92,₹183.92,9.650204211,9.65%,"₹1,627.64","₹2,977.62",₹316.14,₹285.42,₹168.33,₹100.24,₹63.54,₹13.37,₹39.59,₹28.94
"₹20,752.91","₹20,752.91",27,27,1,1,Professional,Professional,Tier_3,"₹3,112.94","₹3,112.94",₹0.00,₹0.00,₹595.20,₹595.20,"₹2,533.62","₹2,533.62","₹1,260.47","₹1,260.47",₹813.83,₹813.83,"₹1,008.46","₹1,008.46","₹1,548.44","₹1,548.44",₹778.79,₹778.79,"₹1,985.13","₹1,985.13",₹525.89,₹525.89,8.233863171,8.23%,"₹1,708.77","₹6,590.15",₹671.04,₹104.48,₹182.54,₹56.97,₹356.94,₹32.24,₹23.96,₹33.84
